단가id,회사,차량명,연식,판매가격
612,Audi(아우디),A8 4.2 FSI quattro LWB,2004,"440,000"
613,기아,K3,2015,"50,000"
614,르노삼성,뉴SM5,2006,"150,000"
615,기아,레토나,2002,"38,500"
616,기아,레토나,2002,"44,000"
617,기아,레토나,2002,"55,000"
618,르노삼성,SM5 SM520,2002,"35,000"
619,현대,YF 쏘나타,2010,"40,000"
620,르노삼성,뉴SM5,2006,"50,000"
621,르노삼성,SM5 SM520,2002,"30,000"
622,현대,NF 쏘나타 트랜스폼,2010,"40,000"
623,르노삼성,SM5 SM520,2002,"35,000"
624,현대,뉴 그랜저 XG LPG 2.7,2002,"40,000"
625,쌍용,액티언 스포츠,2011,"35,000"
626,르노삼성,SM7,2005,"45,000"
627,현대,YF 쏘나타,2010,"30,000"
628,쌍용,액티언 스포츠,2011,"40,000"
629,현대,베르나,2001,"40,000"
630,현대,투싼 디젤(CRDI) 2WD MXL,2004,"74,000"
631,현대,투싼,2004,"70,000"
632,현대,아반떼 XD,2000,"30,000"
633,현대,아반떼 XD,2000,"40,000"
634,현대,아반떼 XD,2000,"35,000"
635,현대,싼타페 CM 2WD (2.2VGT) MLX,2007,"40,000"
636,Volkwagen(폭스바겐),Tiguan 2.0 TDI,2015,"200,000"
637,기아,카니발2,2001,"30,000"
638,Volkwagen(폭스바겐),Tiguan 2.0 TDI,2015,"500,000"
639,기아,카니발2,2001,"45,000"
640,현대,NF 쏘나타 트랜스폼 LPG N20,2008,"30,000"
641,MINI(미니),Cooper D,2016,"80,000"
642,기아,그랜드 카니발,2009,"65,000"
643,쌍용,뉴코란도 밴 602EL,2001,"40,000"
644,쌍용,무쏘 스포츠,2002,"45,000"
645,기아,오피러스 LPI GH270 고급형,2004,"55,000"
646,현대,그랜저 XG,2000,"35,000"
647,현대,그랜저 XG,2002,"40,000"
648,현대,그랜저 XG,2002,"44,000"
649,기아,그랜드 카니발R,2010,"50,000"
650,기아,그랜드 카니발R,2010,"60,000"
651,기아,그랜드 카니발R,2010,"30,000"
652,현대,그랜저 XG,2001,"33,000"
653,쌍용,티볼리,2016,"40,000"
654,현대,싼타페,2004,"150,000"
655,현대,그랜저 TG,2006,"50,000"
656,현대,에쿠스,2004,"35,000"
657,Land,/ Freelander,2003,"165,000"
658,쉐보레/GM대우,더 넥스트 스파크,2015,"45,000"
659,현대,스타렉스,2002,"40,000"
660,현대,에쿠스 JS350,2002,"60,000"
661,현대,뉴 포터 초장축 더블캡,2000,"60,000"
662,현대,LF 쏘나타,2017,"30,000"
663,현대,투싼,2004,"35,000"
664,현대,포터2,2019,"30,000"
665,현대,올뉴투싼,2017,"40,000"
666,현대,포터2,2019,"60,000"
667,현대,그랜저 TG,2005,"40,000"
668,현대,그랜저 XG,2001,"40,000"
669,현대,그랜저 XG,2001,"40,000"
670,쉐보레/GM대우,매그너스,2002,"30,000"
671,쉐보레/GM대우,매그너스,2001,"30,000"
672,기아,카니발2,2002,"35,000"
673,기아,K5,2014,"40,000"
674,현대,뉴 EF 쏘나타,2003,"30,000"
675,쉐보레/GM대우,라세티,2005,"65,000"
676,기아,옵티마,2001,"30,000"
677,쉐보레/GM대우,매그너스,2001,"25,000"
678,기아,카렌스,2002,"30,000"
679,현대,스타렉스,2003,"35,000"
680,현대,뉴 EF 쏘나타,2002,"30,000"
681,현대,아반떼 XD,2003,"40,000"
682,현대,포터2,2008,"35,000"
683,쌍용,뉴코란도,2002,"35,000"
684,현대,아반떼,1995,"35,000"
685,현대,갤로퍼2,2000,"40,000"
686,쉐보레/GM대우,라세티,2005,"30,000"
687,쉐보레/GM대우,라세티,2005,"35,000"
688,르노삼성,SM5 SM520,2002,"35,000"
689,현대,쏘나타 2,1994,"35,000"
690,쉐보레/GM대우,마티즈,2000,"35,000"
691,르노삼성,SM5 SM520,2003,"40,000"
692,현대,포터 초장축 더블캡,1998,"40,000"
693,르노삼성,SM7 New Art,2008,"35,000"
694,쌍용,카이런,2006,"100,000"
695,현대,NF 쏘나타,2007,"35,000"
696,현대,아반떼,1997,"35,000"
697,현대,아반떼 XD,2002,"35,000"
698,기아,스펙트라,2002,"30,000"
699,현대,싼타페,2005,"30,000"
700,현대,싼타페,2005,"35,000"
701,기아,뉴 프라이드,2006,"40,000"
702,현대,뉴 EF 쏘나타,2001,"35,000"
