단가id,차량명,연식,부품명,부품등급,판매가격
110,알티마,2010,프런트 머플러,A등급,"300,000"
111,3시리즈,1996,프런트 머플러,B등급,"300,000"
112,S80,2006,프런트 머플러,A등급,"300,000"
113,어코드,2005,프런트 머플러,A등급,"300,000"
114,3시리즈,1996,프런트 머플러,A등급,"300,000"
115,S-class,2003,프런트 머플러 RH,A등급,"300,000"
116,S-class,2003,프런트 머플러 LH,A등급,"300,000"
117,세브링,2004,프런트 머플러,A등급,"250,000"
118,올 뉴 SM7,2015,프런트 머플러,A등급,"250,000"
119,S80,2001,프런트 머플러,A등급,"400,000"
120,그랜드카니발,2009,센터 머플러,A등급,"50,000"
121,그랜드카니발,2012,센터 머플러,A등급,"60,000"
122,티볼리,2015,센터 머플러,A등급,"80,000"
123,S80,2012,프런트 머플러,A등급,"500,000"
124,S-class,2002,프런트 머플러,A등급,"300,000"
125,프리우스,2012,프런트 머플러,A등급,"400,000"
126,SM3 뉴 제너레이션,2008,프런트 머플러,A등급,"170,000"
127,아베오,2016,리어 머플러,A등급,"80,000"
128,K7,2010,프런트 머플러,A등급,"100,000"
129,그랜저 HG,2014,프런트 머플러,A등급,"200,000"
130,LS430,2002,프런트 머플러,A등급,"300,000"
131,올 뉴 모닝,2014,프런트 머플러,A등급,"150,000"
132,CC,2011,머플러 ASSY,A등급,"500,000"
133,S-class,2009,프런트 머플러,A등급,"400,000"
134,E-class,2005,센터 머플러,A등급,"300,000"
135,S600,2004,프런트 머플러,A등급,"300,000"
136,S600,2004,프런트 머플러,A등급,"300,000"
137,S600,2004,리어 머플러,A등급,"500,000"
138,S-class,2003,프런트 머플러,B등급,"300,000"
139,S600,2004,리어 머플러,A등급,"500,000"
140,파사트,2015,프런트 머플러,A등급,"500,000"
141,파사트,2015,센터 머플러,A등급,"350,000"
142,S-class,2003,프런트 머플러,A등급,"300,000"
143,S500,2002,프런트 머플러,A등급,"300,000"
144,시빅,2009,센터 머플러,A등급,"350,000"
145,300C,2006,프런트 머플러,A등급,"500,000"
146,골프,2000,프런트 머플러,B등급,"400,000"
147,SLK-CLASS,2000,프런트 머플러,A등급,"300,000"
148,S600,2000,프런트 머플러,B등급,"300,000"
149,X3,2013,리어 머플러,A등급,"400,000"
150,S-class,2003,리어 머플러 LH,B등급,"500,000"
151,S500,2002,리어 머플러,B등급,"500,000"
152,제네시스,2009,리어 머플러 LH,B등급,"150,000"
153,제네시스,2009,센터 머플러,B등급,"170,000"
154,뉴 프라이드,2008,프런트 머플러,B등급,"60,000"
155,그랜저 HG,2011,프런트 머플러,B등급,"250,000"
156,그랜저 XG,2002,프런트 머플러,A등급,"150,000"
157,제네시스,2016,프런트 머플러 RH,B등급,"150,000"
158,제네시스,2016,프런트 머플러 LH,B등급,"150,000"
159,제네시스,2016,센터 머플러,B등급,"150,000"
160,S-class,2003,프런트 머플러 LH,B등급,"300,000"
161,레이,2012,프런트 머플러,B등급,"150,000"
162,S-class,2003,프런트 머플러,B등급,"300,000"
163,엑센트,1998,센터 머플러,B등급,"30,000"
164,엑센트,1998,리어 머플러,B등급,"30,000"
165,뉴 토러스,2011,프런트 머플러,B등급,"200,000"
166,폴로,2014,프런트 머플러,B등급,"500,000"
167,라세티,2007,프런트 머플러,B등급,"300,000"
168,X5,2002,센터 머플러,B등급,"200,000"
169,S-class,2003,리어 머플러,B등급,"600,000"
170,S80,2000,프런트 머플러,B등급,"300,000"
171,K5,2015,센터 머플러,B등급,"45,000"
172,K5,2014,센터 머플러,B등급,"45,000"
173,레간자,1999,리어 머플러,B등급,"30,000"
174,CC,2011,리어 머플러,B등급,"500,000"
175,S80,2002,프런트 머플러,B등급,"150,000"
176,E-class,2005,센터 머플러,B등급,"300,000"
177,E-class,2007,프런트 머플러 RH,B등급,"400,000"
178,E-class,2007,프런트 머플러 LH,B등급,"400,000"
179,407,2007,리어 머플러,B등급,"200,000"
180,A4,2014,프런트 머플러,B등급,"200,000"
181,E-class,2005,리어 머플러,B등급,"500,000"
182,S500,1991,프런트 머플러 RH,B등급,"300,000"
183,S500,1991,프런트 머플러 LH,B등급,"300,000"
184,S500,2001,리어 머플러,B등급,"500,000"
185,S500,2001,프런트 머플러 RH,B등급,"300,000"
186,3시리즈,2010,머플러 ASSY,B등급,"500,000"
187,EOS,2008,프런트 머플러,B등급,"300,000"
188,E-class,1996,프런트 머플러,B등급,"300,000"
189,E-class,1996,리어 머플러,B등급,"300,000"
190,EOS,2008,리어 머플러,B등급,"500,000"
191,C-class,1996,프런트 머플러,B등급,"300,000"
192,S500,2001,프런트 머플러 LH,B등급,"300,000"
193,S500,2001,리어 머플러,B등급,"500,000"
194,액티언 스포츠,1998,리어 머플러,B등급,"40,000"
195,뉴 SM3,2012,머플러 ASSY,B등급,"200,000"
196,코란도,1997,센터 머플러,B등급,"30,000"
197,LF 쏘나타,2015,센터 머플러,B등급,"40,000"
198,LF 쏘나타,2015,프런트 머플러,B등급,"50,000"
199,ES350,2007,리어 머플러,B등급,협
200,C-class,1997,머플러 ASSY,B등급,"300,000"
201,폴로,2014,리어 머플러,B등급,"300,000"
202,X5,2003,프런트 머플러,B등급,"600,000"
203,X5,2003,프런트 머플러,B등급,"300,000"
204,A8,2003,리어 머플러,B등급,"600,000"
205,뉴 CR-V,2007,프런트 머플러,B등급,"300,000"
206,C-class,,프런트 머플러,B등급,"300,000"
207,A8,2007,프런트 머플러 RH,B등급,"200,000"
208,A8,2007,프런트 머플러 LH,B등급,"300,000"
209,C-class,1998,리어 머플러,B등급,"300,000"
210,CLK-CLASS,2003,센터 머플러,B등급,"300,000"
211,CLK-CLASS,2003,프런트 머플러 RH,B등급,"300,000"
212,CLK-CLASS,2003,프런트 머플러 LH,B등급,"300,000"
213,카니발,1999,리어 머플러,B등급,"20,000"
214,카니발,1999,센터 머플러,B등급,"20,000"
215,카니발,1999,프런트 머플러,B등급,"20,000"
216,S-class,1996,리어 머플러,A등급,"300,000"
217,E-class,1990,리어 머플러,A등급,"300,000"
218,E-class,1996,리어 머플러,B등급,"300,000"
219,SEL,1993,리어 머플러,B등급,"300,000"
220,SEL,1993,프런트 머플러,B등급,"500,000"
221,E-class,1990,프런트 머플러,B등급,"200,000"
222,그랜저,1996,리어 머플러,B등급,"30,000"
223,7시리즈,1997,머플러 ASSY,B등급,"600,000"
224,1시리즈,2011,머플러 ASSY,B등급,"500,000"
225,E-class,2000,머플러 ASSY,B등급,협
226,E-class,1996,머플러 ASSY,B등급,"400,000"
227,뉴체어맨,2001,프런트 머플러,B등급,"150,000"
228,C-class,2008,프런트 머플러,B등급,"200,000"
229,E-class,1996,머플러 ASSY,B등급,"400,000"
230,C-class,2008,리어 머플러,B등급,"300,000"
231,이스케이프,2009,센터 머플러,B등급,"300,000"
232,누비라2,2000,프런트 머플러,B등급,"30,000"
233,S-class,2011,리어 머플러 LH,B등급,"500,000"
234,Q7,2009,리어 머플러,B등급,"700,000"
235,스타렉스,1999,리어 머플러,B등급,"20,000"
236,그란투리스모,2011,머플러 ASSY,B등급,"1,100,000"
237,C-class,2001,리어 머플러,B등급,"200,000"
238,CL-CLASS,2000,프런트 머플러 RH,B등급,"300,000"
239,CL-CLASS,2000,프런트 머플러 LH,B등급,"300,000"
240,E-class,2005,프런트 머플러 RH,B등급,"300,000"
241,어코드,2005,리어 머플러,B등급,"400,000"
242,407,2007,리어 머플러,B등급,"300,000"
243,CLS-CLASS,2008,리어 머플러,B등급,"500,000"
244,M37,,프런트 머플러,B등급,"200,000"
245,G35,2008,센터 머플러,B등급,"400,000"
246,G35,2008,리어 머플러 RH,B등급,"300,000"
247,G35,2008,리어 머플러 LH,B등급,"300,000"
248,S600,2000,리어 머플러,B등급,"300,000"
249,S600,1996,리어 머플러,B등급,"300,000"
250,A4,2002,리어 머플러,B등급,"400,000"
251,A4,2002,리어 머플러,B등급,"400,000"
252,스타렉스,2000,프런트 머플러,B등급,"20,000"
253,ES350,2008,리어 머플러,B등급,"500,000"
254,5시리즈,2012,리어 머플러,B등급,"1,000,000"
255,7시리즈,2006,리어 머플러,B등급,"600,000"
256,스타렉스,2002,리어 머플러,B등급,"20,000"
257,그랜드카니발,2007,센터 머플러,B등급,"60,000"
258,코란도,1999,센터 머플러,B등급,"30,000"
259,코란도,1999,리어 머플러,B등급,"10,000"
260,그랜저,1997,리어 머플러,B등급,"30,000"
261,X5,2003,머플러 ASSY,B등급,"600,000"
262,그랜저,1997,프런트 머플러,A등급,"30,000"
263,골프,2007,센터 머플러,B등급,"200,000"
264,300C,2012,프런트 머플러 LH,B등급,"150,000"
265,액티언 스포츠,2011,리어 머플러,B등급,"30,000"
266,갤로퍼,1994,리어 머플러,A등급,"30,000"
267,7시리즈,2006,머플러 ASSY,B등급,"600,000"
268,골프,2008,리어 머플러,B등급,"300,000"
269,CLK-CLASS,2003,리어 머플러,B등급,"600,000"
270,그랜드 보이저,2002,센터 머플러,B등급,"200,000"
271,X5,2008,리어 머플러,B등급,"300,000"
272,E-class,2014,프런트 머플러,B등급,"200,000"
273,300C,2012,센터 머플러,B등급,"300,000"
274,스타렉스,1999,리어 머플러,B등급,"30,000"
275,A6,2007,리어 머플러,B등급,"600,000"
276,레인지로버,2013,리어 머플러,B등급,"350,000"
277,세피아2,1999,센터 머플러,B등급,"20,000"
278,세피아2,1999,리어 머플러,B등급,"30,000"
279,A6,2006,리어 머플러,B등급,"500,000"
280,300C,2012,리어 머플러,B등급,"600,000"
281,루비콘,2009,리어 머플러,B등급,"400,000"
282,S-class,1997,리어 머플러,B등급,"300,000"
283,S-class,2002,리어 머플러,B등급,"600,000"
284,XF,2009,센터 머플러,B등급,"300,000"
285,S-class,2000,머플러 ASSY,B등급,"400,000"
286,S-class,2002,리어 머플러,B등급,"400,000"
287,S-class,2002,리어 머플러,B등급,"400,000"
288,S500,2002,리어 머플러,B등급,"400,000"
289,S-class,2002,리어 머플러 RH,B등급,"300,000"
290,S500,2002,프런트 머플러 RH,B등급,"300,000"
291,S500,2002,프런트 머플러 LH,B등급,"300,000"
292,S-class,2003,프런트 머플러 RH,B등급,"300,000"
293,S-class,2002,프런트 머플러 LH,B등급,"300,000"
294,S-class,1996,프런트 머플러,B등급,"500,000"
295,S-class,2002,프런트 머플러,B등급,"400,000"
296,CL-CLASS,2004,리어 머플러,B등급,"500,000"
297,S-class,1996,리어 머플러,B등급,"400,000"
298,S-class,2005,리어 머플러,B등급,"400,000"
299,어코드,2006,센터 머플러,B등급,"100,000"
300,EX35,1990,리어 머플러 RH,B등급,"200,000"
301,EX35,1990,리어 머플러 LH,B등급,"200,000"
302,미니쿠퍼,2012,프런트 머플러,B등급,"200,000"
303,S-class,2001,머플러 ASSY,B등급,"600,000"
304,모닝,2011,센터 머플러,B등급,"130,000"
305,어코드,2006,머플러 ASSY,B등급,"300,000"
306,S-class,2001,센터 머플러,B등급,"500,000"
307,로체,2005,센터 머플러,B등급,"30,000"
308,프리랜더,2003,센터 머플러,B등급,"300,000"
309,아벨라,1997,센터 머플러,B등급,"20,000"
310,K5,2011,센터 머플러,B등급,"30,000"
311,A4,2010,리어 머플러,B등급,"400,000"
312,7시리즈,2003,머플러 ASSY,B등급,"600,000"
313,S-class,2002,리어 머플러,B등급,"400,000"
314,S60,2002,프런트 머플러,B등급,"150,000"
315,골프,2007,머플러 ASSY,B등급,"200,000"
316,X3,2005,머플러 ASSY,B등급,"400,000"
317,라세티,2010,프런트 머플러,B등급,"90,000"
318,ES300,2003,머플러 ASSY,B등급,"300,000"
319,S40,2002,머플러 ASSY,B등급,"300,000"
320,셀시오,2003,머플러 ASSY,B등급,"400,000"
321,G35,2007,머플러 ASSY,B등급,협
322,S60,2002,머플러 ASSY,B등급,협
323,코란도,1996,센터 머플러,B등급,"30,000"
324,코란도,1996,리어 머플러,B등급,"20,000"
325,이스케이프,2002,리어 머플러,B등급,"200,000"
326,S60,2005,리어 머플러,B등급,"200,000"
327,5시리즈,2005,센터 머플러,B등급,"300,000"
328,X3,2004,센터 머플러,A등급,"200,000"
329,X3,2004,리어 머플러 RH,A등급,"200,000"
330,X5,2004,리어 머플러 LH,A등급,"200,000"
331,포터2,2016,프런트 머플러,A등급,"20,000"
332,9-5,2001,프런트 머플러,B등급,"100,000"
333,골프,2007,프런트 머플러,B등급,"400,000"
334,어코드,,머플러 ASSY,B등급,"200,000"
